0.00	1008.0
0.30	144.8
0.60	180.0
0.90	0.0
1.20	331.2
1.50	432.8
1.80	258.4
2.10	280.8
2.40	218.4
2.70	180.8
3.00	144.0
3.30	140.8
3.60	128.8
3.90	121.6
4.20	75.92
4.50	166.4
4.80	136.0
5.10	216.0
5.40	180.8
5.70	183.2
6.00	220.8
6.30	144.8
6.60	131.2
6.90	200.0
7.20	179.2
7.50	184.0
7.80	164.8
8.10	159.2
8.40	170.4
8.70	173.6
9.00	182.4
9.30	185.6
9.60	184.8
9.90	175.2
10.20	193.6
10.50	178.4
10.80	199.2
11.10	190.4
11.40	116.8
11.70	204.8
12.00	256.0
12.30	250.4
12.60	203.2
12.90	192.8
13.20	206.4
13.50	224.0
13.80	221.6
14.10	228.8
14.40	222.4
14.70	210.4
15.00	227.2
15.30	179.2
15.60	168.0
15.90	174.4
16.20	221.6
16.50	179.2
16.80	174.4
17.10	152.0
17.40	211.2
17.70	204.0
18.00	196.0
18.30	203.2
18.60	228.8
18.90	237.6
19.20	153.6
19.50	236.8
19.80	248.8
20.10	240.0
20.40	221.6
20.70	231.2
21.00	267.2
21.30	293.6
21.60	309.6
21.90	255.2
22.20	258.4
22.50	239.2
22.80	184.8
23.10	272.8
23.40	297.6
23.70	251.2
24.00	278.4
24.30	253.6
24.60	271.2
24.90	259.2
25.20	272.0
25.50	248.0
25.80	287.2
26.10	279.2
26.40	308.0
26.70	308.8
27.00	342.4
27.30	318.4
27.60	316.0
27.90	320.0
28.20	301.6
28.50	300.0
28.80	303.2
29.10	273.6
29.40	260.0
29.70	238.4
