0.00	516.0
0.30	124.8
0.60	411.2
0.90	0.0
1.20	0.0
1.50	100.8
1.80	103.2
2.10	0.0
2.40	0.0
2.70	0.0
3.00	0.0
3.30	0.0
3.60	0.0
3.90	20.24
4.20	66.56
4.50	0.0
4.80	0.0
5.10	0.0
5.40	0.0
5.70	0.0
6.00	341.6
6.30	41.6
6.60	44.64
6.90	60.08
7.20	3.68
7.50	0.0
7.80	4.48
8.10	0.0
8.40	0.0
8.70	0.0
9.00	0.0
9.30	65.84
9.60	230.4
9.90	0.0
10.20	0.0
10.50	0.0
10.80	271.2
11.10	0.0
11.40	0.0
11.70	52.88
12.00	1.84
12.30	0.0
12.60	0.0
12.90	30.8
13.20	0.0
13.50	0.0
13.80	418.4
14.10	95.2
14.40	78.4
14.70	100.8
15.00	37.12
15.30	0.0
15.60	9.84
15.90	106.4
16.20	194.4
16.50	90.4
16.80	68.48
17.10	98.4
17.40	155.2
17.70	188.0
18.00	144.0
18.30	176.8
18.60	180.8
18.90	202.4
19.20	195.2
19.50	202.4
19.80	114.4
20.10	218.4
20.40	218.4
20.70	220.8
21.00	239.2
21.30	231.2
21.60	232.8
21.90	212.8
22.20	231.2
22.50	248.0
22.80	228.8
23.10	202.4
23.40	168.0
23.70	269.6
24.00	242.4
24.30	167.2
24.60	177.6
24.90	194.4
25.20	229.6
25.50	248.0
25.80	250.4
26.10	214.4
26.40	208.8
26.70	243.2
27.00	215.2
27.30	92.8
27.60	343.2
27.90	190.4
28.20	246.4
28.50	276.8
28.80	307.2
29.10	292.8
29.40	288.0
29.70	260.8
